Title,clean_synopsis
Project Silence,due sudden deteriorating weather condition visibility airport bridge severely impaired leaving people stranded risk bridge collapsing due series chain collision explosion amidst chaos canine subject echo military experiment project silence transported secret break free human survivor become target relentless attack
Life of Pi,story indian boy named pi zookeeper son find company hyena zebra orangutan bengal tiger shipwreck set adrift pacific ocean
Wreck-It Ralph,wreck ralph foot tall pound villain arcade video game named fix felix jr game titular hero fix building ralph destroys wanting prove good guy villain ralph escape game land hero duty first person shooter help game hero battle alien invader later enters sugar rush kart racing game set track made candy cooky sweet ralph meet vanellope von schweetz learned game faced dire threat could affect entire arcade one ralph may inadvertently started
Avengers: Endgame,devastating event avenger infinity war universe ruin due effort mad titan thanos help remaining ally avenger must assemble order undo thanos action restore order universe matter consequence may store
Star Wars: The Last Jedi,rey develops newly discovered ability guidance luke skywalker unsettled strength power meanwhile resistance prepares battle first order
The Revenant,frontiersman hugh glass set path vengeance left dead bear mauling
Bee Movie,barry b benson recent college graduate want life making honey decides sue human race learning exploitation bee hand mankind
Terminator Genisys,year john connor leader resistance continues war machine los angeles offensive john fear unknown future begin emerge tecom spy reveal new plot skynet attack front past future ultimately change warfare forever
The Roundup,beast cop seok head foreign country extradite suspect soon arrival discovers additional murder case hears vicious killer committing crime tourist several year
Detective Chirp & the Golden Beehive,resident honey valley getting ready favorite holiday city day citizen opportunity admire unique artifact golden hive according legend found founder honey valley legend thousand misfortune fall upon town hive disappears eve holiday beehive kidnapped squirrel chink sophie owl detective assistant blamed chink friend unravel case find real crook return golden hive also peace valley
Avengers: Age of Ultron,tony stark try jumpstart dormant peacekeeping program thing go awry earth mightiest hero put ultimate test fate planet hang balance villainous ultron emerges avenger stop enacting terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure
Cruella,london amidst punk rock revolution young grifter named estella determined make name design befriends pair young thief appreciate appetite mischief together able build life london street one day estella flair fashion catch eye baroness von hellman fashion legend devastatingly chic terrifyingly haute relationship set motion course event revelation cause estella embrace wicked side become raucous fashionable revenge bent cruella
Godzilla x Kong: The New Empire,following explosive showdown godzilla kong must reunite colossal undiscovered threat hidden within world challenging existence
Battleship,mankind beam radio signal space reply come planet g form several alien craft splash water hawaii lieutenant alex hopper weapon officer assigned us john paul jones part international naval coalition becomes world last hope survival engage hostile alien force unimaginable strength taking invader hopper must also try live potential brother fianc e father admiral expect
Transformers: Age of Extinction,humanity pick piece battle chicago shadowy group reveals attempt control direction history ancient powerful new menace set earth crosshairs help cade yeager optimus prime autobots rise meet fearsome challenge yet
Enola Holmes,searching missing mother intrepid teen enola holmes us sleuthing skill outsmart big brother sherlock help runaway lord
Ice Age: The Meltdown,diego manny sid return sequel hit animated movie ice age time around deep freeze ice covered earth starting melt destroy trio cherished valley impending disaster prompt reunite warn beast desperate situation
Rio,captured smuggler hatchling macaw named blu never learned fly life happily domesticated life minnesota human friend linda blu thought last kind word come jewel lone female life rio de janeiro blu linda go meet animal smuggler kidnap blu jewel pair soon escape begin perilous adventure back freedom linda
Retribution,mysterious caller plant bomb car seat bank executive begin high speed chase across city complete specific series task kid trapped back seat
Back to the Future Part III,final installment find marty digging trusty delorean mineshaft looking doc wild west time machine break traveler stranded land spur problem arise doc fall pretty schoolteacher clara clayton marty tangle buford tannen
The Creator,amid future war human race force artificial intelligence hardened ex special force agent grieving disappearance wife recruited hunt kill creator elusive architect advanced ai developed mysterious weapon power end war mankind
The Matrix Resurrections,plagued strange memory neo life take unexpected turn find back inside matrix
Porco Rosso,italy sky pirate biplane terrorize wealthy cruise ship sail adriatic sea pilot brave enough stop scourge mysterious porco rosso former world war flying ace somehow turned pig war prepares battle pirate crew american ace porco rosso enlists help spunky girl mechanic fio piccolo longtime friend madame gina
Baby: Secret of the Lost Legend,paleontologist husband discover mother baby brontosaurus africa try protect hunter want capture
Indiana Jones and the Kingdom of the Crystal Skull,set cold war soviet led sword wielding irina spalko search crystal skull supernatural power related mystical lost city gold indy coerced head peru behest young man whose friend indy colleague professor oxley captured knowledge skull whereabouts
The Hunger Games,every year ruin north america nation panem force twelve district send teenage boy girl compete hunger game part twisted entertainment part government intimidation tactic hunger game nationally televised event tribute must fight one another one survivor remains pitted highly trained tribute prepared game entire life katniss forced rely upon sharp instinct well mentorship drunken former victor haymitch abernathy ever return home district katniss must make impossible choice arena weigh survival humanity life love world watching
K.O.,former fighter must find missing son opponent accidentally killed year ago taking brutally violent crime gang marseille
No Time to Die,bond left active service enjoying tranquil life jamaica peace short lived old friend felix leiter cia turn asking help mission rescue kidnapped scientist turn far treacherous expected leading bond onto trail mysterious villain armed dangerous new technology
2001: A Space Odyssey,humanity find mysterious object buried beneath lunar surface set find origin help hal world advanced super computer
Paddington 2,paddington happily settled brown pick series odd job buy perfect present aunt lucy stolen
Bridge to Terabithia,jesse aaron trained summer become fastest runner school upset newcomer leslie burke outruns everyone else despite difference including rich poor city girl country boy two become fast friend together create terabithia land monster troll ogre giant rule king queen
